No,LCD,VF,density,KH,PLD,ASA,Va,MaxER,MinER,C_ratio,APC,ANC,A¦Å,A¦Ò,type,Qst,¦¤W,-<¦¤adsH>,Free_energy_ave
128,16.14031,0.65932,0.70566,0.00360252,15.82205,1643.07996,0.93432,0.649969847,0,0.5,0.091595238,-0.128233333,1.884451182,0.149184858,0,2.157942641,0.004292885,23.12323,-132.7955863
131,22.84676,0.74565,0.52298,4.30E-05,22.58173,1969.80005,1.42579,0.653905303,0,0.555555556,0.084181818,-0.132285714,1.464449869,0.113167965,0,3.139928443,0.005828763,24.779995,-118.626345
134,29.3658,0.76261,0.47826,8.51E-05,29.18206,1965.17004,1.59453,0.6718092,0,0.611111111,0.144757576,-0.22747619,1.320900288,0.093179536,0,1.427579282,0.003085507,21.282935,-192.6092474
135,34.38021,0.79858,0.39934,6.24E-05,34.20807,2126.71997,1.99976,0.667697856,4.45E-30,0.65,0.126461538,-0.234857143,1.097587671,0.076724029,0,0.679787705,0.001706015,18.3294,-163.4473798
141,27.37267,0.75344,0.56242,6.76E-05,27.15258,1594.54004,1.33964,0.470319755,0.060408349,0.563758389,0.249,-0.239171053,1.381371903,0.102802857,0,2.259450643,0.004082489,25.45867,-224.6305192
142,32,0.67,0.523507,4.72E-05,32.0001,1568.03,1.29,0.5,5.75E-30,0.587570621,0.178645161,-0.197785714,1.316151631,0.097494418,0,1.240229823,0.002661484,21.435625,-186.2856183
143,28.61876,0.76144,0.54697,2.63E-05,28.4512,1628.73999,1.3921,0.502222351,5.43E-30,0.554744526,0.241615385,-0.218125,1.320396114,0.098336116,0,1.288924904,0.002739487,21.64294,-214.5518266
151,29.3055,0.77858,0.4307,0.000072731,29.12139,2098.12012,1.80772,0.673624725,0,0.545454545,0.060833333,-0.081111111,1.189864045,0.093066733,0,0.910213096,0.002251399,18.597235,-72.80321628
152,29.61308,0.78412,0.41859,4.98E-05,29.45343,2212.42993,1.87326,0.671069748,3.11E-30,0.545454545,0.0635,-0.0762,1.212097801,0.094241998,0,0.596283335,0.001619354,16.93826,-72.88917443
153,32.28242,0.78781,0.39612,3.80E-05,32.11429,2129.77002,1.98879,0.672586526,0,0.545454545,0.064402778,-0.077283333,1.147058665,0.08918513,0,0.418415646,0.001234333,15.59314,-77.33883336
