No,name,LCD,VF,Density,PLD,Va,ASA
463,BEXSII_freeONLY,6.17478,0.645,0.984507,4.3612,0.655151,1937.33
464,BEXVEH_freeONLY,9.97626,0.704,0.834731,3.79615,0.843385,2797.09
465,BEYKEX_freeONLY,5.04379,0.4776,2.11649,2.77578,0.225656,0
466,BEYSEF_freeONLY,5.61731,0.5534,1.17978,4.74798,0.469069,1194.41
467,BEZDUH_freeONLY,3.91018,0.4302,2.15666,2.70912,0.199475,0
468,BIBBUL_freeONLY,3.85878,0.4268,1.32039,3.31702,0.323237,120.909
469,BIBMEG_freeONLY,5.57416,0.4216,1.93225,2.96797,0.218191,0
470,BIBXIV_freeONLY,18.4936,0.7322,0.9977,4.06846,0.733888,1660.99
471,BIBXOB_freeONLY,19.69299,0.826,0.409554,7.98654,2.01683,4876.5
472,BIBXUH_freeONLY,14.73899,0.7088,0.739806,5.12647,0.958089,2796.6
473,BIBYAO_freeONLY,13.04186,0.6492,1.4952,4.014,0.434188,1211.73
474,BICDAU_freeONLY,11.50132,0.7242,0.765329,6.66538,0.94626,2779.92
475,BICPOT_freeONLY,7.30922,0.5162,1.59286,6.53578,0.324071,773.59
476,BIFGOO_freeONLY,10.87246,0.5534,1.75205,9.01928,0.315858,696.781
477,BIFKEI_freeONLY,5.92703,0.6088,1.02128,4.3432,0.596113,1982.84
478,BIGZUO_freeONLY,21.42232,0.9014,0.320353,18.65773,2.81377,4417.18
479,BIHBEB_freeONLY,16.57834,0.7568,0.774453,15.226,0.977206,2176.12
480,BIHMUC_freeONLY,4.31695,0.4184,1.40549,2.79157,0.29769,0
481,BIHRER_freeONLY,5.55691,0.4254,1.36501,3.26807,0.311645,0
482,BIJDUV_freeONLY,7.7968,0.5916,0.935382,5.66043,0.632469,1805.53
483,BIJFAD_freeONLY,6.99047,0.5834,0.912709,4.57236,0.639196,1935.69
484,BIJJOV_freeONLY,4.82105,0.3092,2.14714,3.20318,0.144005,0
485,BIMDEF_freeONLY,4.20677,0.4816,1.50465,2.88148,0.320075,0
486,BIMDIL_freeONLY,5.20728,0.539,1.39622,3.51213,0.386042,1058.67
487,BINCUY_manual,13.3117,0.7246,0.583969,8.62623,1.24082,3760.71
488,BINDAF_manual,13.14316,0.7212,0.600599,8.49712,1.2008,3638.73
489,BINMIW_freeONLY,11.24986,0.5962,1.06367,10.49756,0.560513,1173.56
490,BIPBAF_freeONLY,10.29487,0.7006,0.832638,3.91504,0.841422,2928.24
491,BIPKIW_freeONLY,10.21973,0.5406,1.04639,3.37218,0.516634,848.338
492,BIPLIX_freeONLY,7.16866,0.5856,1.10075,5.34169,0.532001,1401.56
493,BIQFOW_freeONLY,5.88357,0.5038,2.2446,2.82771,0.22445,0
494,BIQHEQ_freeONLY,4.74191,0.5198,1.17069,2.75578,0.444013,0
495,BIQRIE_freeONLY,4.35931,0.4284,2.0987,2.83088,0.204126,0
496,BIQVII_freeONLY,4.04595,0.3848,1.71441,2.50854,0.22445,0
497,BIRGIU_freeONLY,4.93866,0.5068,1.44971,3.37186,0.349588,611.029
498,BIRLIZ_freeONLY,4.9162,0.4986,1.34988,2.97273,0.369366,0
499,BIRMUM_freeONLY,5.51026,0.4142,1.28819,4.36322,0.321537,286.955
500,BIWHAQ_freeONLY,4.99325,0.474,2.38672,2.94543,0.198599,0
501,BIWSEG_ion_b,29.73511,0.843,0.466941,11.96997,1.80537,3073.15
502,BIWSIK_ion_b,18.63687,0.7214,0.67698,3.90699,1.06562,2868.16
503,BIWSOQ_freeONLY,15.33666,0.6392,1.01776,3.82822,0.628045,1778.79
504,BIYVIQ_freeONLY,5.42085,0.4342,1.72439,4.40806,0.251799,411.852
505,BIYXUE_charged,8.39634,0.6496,0.891254,6.80286,0.728861,2155.37
506,BIYYAL_charged,8.30709,0.6498,0.897695,6.8904,0.723854,2129.09
507,BIYYEP_charged,8.05568,0.491,1.72587,3.85909,0.284494,546.574
508,BIZLUT_freeONLY,8.11197,0.6572,0.849879,6.3971,0.773287,2360.34
509,BIZMAA_freeONLY,8.82584,0.6668,0.838203,6.80117,0.795512,2423.76
510,BIZMEE_freeONLY,8.33004,0.661,0.855248,6.47185,0.772875,2359.47
511,BIZMII_freeONLY,8.09188,0.6566,0.865187,6.36998,0.758911,2317.41
512,BOCTEU01_freeONLY,3.96678,0.5458,1.31889,2.99779,0.413834,0
513,BOCTOE01_freeONLY,4.25376,0.565,1.24701,2.75131,0.453084,0
514,BOCTOE02_freeONLY,4.2866,0.5698,1.23767,2.77373,0.46038,0
515,BOCTOE03_freeONLY,4.3221,0.5734,1.22701,2.79678,0.467316,0
516,BOCTOE04_freeONLY,4.34246,0.5642,1.22277,2.69592,0.461411,0
517,BOCTOE05_freeONLY,4.4068,0.5716,1.19924,2.72867,0.476636,0
518,BOCTOE_freeONLY,4.22766,0.5614,1.25493,2.72627,0.447357,0
519,BODPAN_freeONLY,11.00022,0.6898,0.958547,5.27879,0.719631,2306.11
520,BOFBII_freeONLY,5.62018,0.4908,2.1759,3.57831,0.225562,445.371
521,BOFCEG_freeONLY,4.76632,0.5334,1.35043,3.26539,0.394986,0
522,BOHJOZ_auto,7.4485,0.557,1.57117,3.57263,0.354513,901.179
523,BOHWOM_freeONLY,5.89218,0.5632,1.2599,3.97815,0.447019,1242.87
524,BOHXIH_freeONLY,7.57568,0.5408,1.73991,3.35709,0.310822,686.45
525,BOJCIN_freeONLY,5.54889,0.5312,1.10605,5.25047,0.480266,628.668
526,BOJDAG_freeONLY,5.39507,0.4208,2.56176,2.83629,0.164262,0
527,BOKQEZ_freeONLY,6.78872,0.5056,1.41419,3.4649,0.357519,839.219
528,BOLPAU_freeONLY,7.5531,0.6252,0.945223,5.10301,0.661431,2011.07
529,BOLZIN_freeONLY,18.71247,0.8076,0.466942,7.75585,1.72955,4222.32
530,BOMCOX_freeONLY,5.96735,0.5368,1.1236,4.28567,0.477752,1187.38
531,BOMCUB_charged,2.92768,0.4422,1.9232,2.6766,0.229929,0
532,BONNIC_freeONLY,4.09843,0.4484,1.41859,3.03382,0.316089,0
533,BONWIL_freeONLY,3.70731,0.3752,1.7315,2.93141,0.216691,0
534,BOPHEV_freeONLY,4.28122,0.496,1.35218,3.31679,0.366816,197.832
535,BOPHIZ_freeONLY,6.90751,0.5288,1.33264,3.65302,0.396808,905.897
536,BOQYUD_freeONLY,3.46694,0.2296,2.93039,2.90192,0.0783513,0
537,BORBEQ_freeONLY,6.03525,0.545,1.10262,3.97595,0.494276,1187.57
