[-0.04001423  0.12735155]
[-0.13915188 -0.05719109]
[-0.16052625 -0.05675498]
[-0.03019172  0.133234  ]
[0.00714018 0.18119659]
[0.0119164  0.16624284]
[ 0.35565898 -0.04292793]
[-0.07771554  0.00879433]
[-0.00166465  0.29306999]
[-0.0622989   0.15911078]
[-0.1741065  -0.08984503]
[-0.17902653 -0.11493446]
[-0.62897406 -0.21438601]
[-0.08640606  0.02486456]
[-0.09009446  0.04056058]
[-0.13589162  0.02916273]
[-0.14162671 -0.06875563]
[ 0.13133357 -0.0486028 ]
[-0.19336543 -0.04571442]
[ 0.00336445 -0.04191771]
[-0.44067273 -0.1698759 ]
[-0.34719973 -0.16990688]
[-0.02080743  0.16010062]
[-0.04608832  0.01647056]
[-0.1013451   0.02322037]
[-0.19029239 -0.06861002]
[-0.08907018 -0.06880103]
[-0.1536854  -0.02930767]
[-0.16197525 -0.03373256]
[0.19135409 0.0178828 ]
[-0.11055094 -0.03590079]
[ 0.36642089 -0.04442719]
[ 0.05251268 -0.00492661]
[0.05949365 0.0095437 ]
[-0.0966448  -0.02910966]
[0.10213884 0.01422405]
[0.12994492 0.00149033]
[0.00807259 0.02985052]
[ 0.24455996 -0.01474079]
[-0.0089684   0.18553361]
[-0.0991267  -0.06857607]
[0.02016683 0.37214043]
[-0.15688968 -0.03106435]
[-0.25493345 -0.08833228]
[0.10695023 0.27025772]
[-0.12358271 -0.0044933 ]
[ 0.03787328 -0.1169874 ]
[-0.07091618  0.02422471]
[-0.13465284  0.00938333]
[-0.06189868  0.03986565]
[-0.08048778  0.09301342]
[-0.15704239 -0.07194446]
[-0.00463935  0.11243529]
[-0.15109897 -0.06084079]
[-0.17493306 -0.06411549]
[-0.11147756 -0.0459923 ]
[0.05345338 0.15040998]
[-0.18774513 -0.11585343]
[-0.17058641 -0.07526957]
[0.00102661 0.0693018 ]
[0.0136282  0.05248371]
[0.01270661 0.0675612 ]
[0.0169509  0.05440313]
[0.0122839  0.09549318]
[0.0067245 0.0629514]
[-0.19277027 -0.04087734]
[-0.04325986  0.15744256]
[-0.12689478 -0.04005237]
[-0.28806041 -0.0824803 ]
[0.02642033 0.33575709]
[0.02842344 0.35331889]
[0.00432217 0.13049132]
[-0.27569745 -0.10351662]
[-0.15347963 -0.04582515]
[0.03847289 0.14985444]
[0.02999782 0.16081145]
[0.04680925 0.18016171]
[ 0.01302828 -0.00854002]
[-0.04746252 -0.04963453]
